Constituency,Sl_No,Candidate_Name,Party,Symbol
Gummidipoondi,1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,Rising sun
Gummidipoondi,2,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,Two leaves
Gummidipoondi,3,M.JAGADEESAN,Bahujan Samaj Party,Elephant
Gummidipoondi,4,R.SRIDAR. B.L.,Naam Tamilar Katchi,Farmer Carrying Plough
Gummidipoondi,5,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Gummidipoondi,6,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Gummidipoondi,7,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,Whistle
Gummidipoondi,8,M.KUMARAN,Independent,Diamond
Gummidipoondi,9,GOPAL.K,Independent,Letter box
Gummidipoondi,10,T.GOVINDAN,Independent,Ship
Gummidipoondi,11,A.H. SIVA GANESH,Independent,Batsman
Gummidipoondi,12,D.SUDHAKAR,Independent,Peas
Gummidipoondi,13,V.SUDHAKAR,Independent,Water melon
Gummidipoondi,14,D.DINESH,Independent,Road roller
Gummidipoondi,15,G.RANJITH B.SC.L.L.B,Independent,Crane
Ponneri,1,DURAI CHANDRASEKAR,Indian National Congress,Hand
Ponneri,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,Elephant
Ponneri,3,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,Two leaves
Ponneri,4,RAJATHI.M,Naam Tamilar Katchi,Farmer Carrying Plough
Ponneri,5,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,Football player
Ponneri,6,RAJA.S,Vanchit Bahujan Aaghadi,Gas cylinder
Ponneri,7,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,Camera
Ponneri,8,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,Matchbox
Ponneri,9,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,Whistle
Ponneri,10,NAGAIYAN.G,Independent,Batsman
Ponneri,11,BARATHIRAJA.K,Independent,Brush
Ponneri,12,RAJASEKAR.J,Independent,Pen drive
Ponneri,13,VENKATESAN.S,Independent,Water melon
Tiruttani,1,G.HARI,All India Anna Dravida Munnetra Kazhagam,Two leaves
Tiruttani,2,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,Nagara
Tiruttani,3,CHANDRAN .S.S,Naam Tamilar Katchi,Farmer Carrying Plough
Tiruttani,4,MUTHURAJ.G,Bahujan Samaj Party,Elephant
Tiruttani,5,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,Whistle
Tiruttani,6,BALAJI.A,Thakkam Katchi,Matchbox
Tiruttani,7,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,Camera
Tiruttani,8,KRISHNAMOORTHY.K,Independent,Diamond
Tiruttani,9,KRISHNAMOORTHY.D,Independent,Pestle and mortar
Tiruttani,10,KRISHNAMOORTHY.M,Independent,Noodles bowl
Tiruttani,11,SHETTU.S,Independent,Gas cylinder
Tiruttani,12,DR.A.V.NARENDRAN,Independent,Bangles
Tiruttani,13,JAMBU.B,Independent,Bucket
Thiruvallur,1,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,Rising sun
Thiruvallur,2,K. SENTHILKUMAR,Naam Tamilar Katchi,Farmer Carrying Plough
Thiruvallur,3,BE  VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,Two leaves
Thiruvallur,4,B. RAJESH KUMAR,Bahujan Samaj Party,Elephant
Thiruvallur,5,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,Whistle
Thiruvallur,6,E. MANI,Republican Party of India (Athawale),Ganna kisan
Thiruvallur,7,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,Camera
Thiruvallur,8,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Thiruvallur,9,E.KOTHANDAN,Independent,Rubber stamp
Thiruvallur,10,N. NAGENDRABABU,Independent,Cot
Thiruvallur,11,N. BALAKRISHNAN,Independent,Diamond
Thiruvallur,12,R. RAMANAN,Independent,Can
Thiruvallur,13,G. RAJENDIRAN,Independent,Water tank
Thiruvallur,14,S. RAJENDRAN,Independent,Plate stand
Poonamallee,1,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,Rising sun
Poonamallee,2,MEKALA.J,Naam Tamilar Katchi,Farmer Carrying Plough
Poonamallee,3,RAJASEKARAN.K,Bahujan Samaj Party,Elephant
Poonamallee,4,ELUMALAI.T.A,Amma Makkal Munnettra Kazagam,Pressure cooker
Poonamallee,5,PRAKASAM.R,Tamilaga Vettri Kazhagam,Whistle
Poonamallee,6,SIVAKUMAR.S,Independent,Belt
Poonamallee,7,DHASARATHAN.R,Independent,Box
Poonamallee,8,PURUSHOTHAMAN.B,Independent,Saw
Poonamallee,9,RAVIKUMAR.M,Independent,Diamond
Poonamallee,10,VELU.S,Independent,Batsman
Poonamallee,11,DR.JAYANTHI.R,Independent,Swing
Avadi,1,S. CHARLES,Bahujan Samaj Party,Elephant
Avadi,2,S.M.NASAR,Dravida Munnetra Kazhagam,Rising sun
Avadi,3,PUNITHA SHANMUGAM,Naam Tamilar Katchi,Farmer Carrying Plough
Avadi,4,RAJASIMHA MAHENDRA,Bharatiya Janata Party,Lotus
Avadi,5,R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,Camera
Avadi,6,C.S. Karnan,Anti Corruption Dynamic Party,Truck
Avadi,7,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Jackfruit
Avadi,8,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Avadi,9,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,Whistle
Avadi,10,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,Walking stick
Avadi,11,K. ANNAMALAI,Independent,Refrigerator
Avadi,12,G.D. ARUNKUMAR,Independent,Gramophone
Avadi,13,M. ERAJASIMMAN,Independent,Cauliflower
Avadi,14,R. KUMAR,Independent,Pen nib with seven rays
Avadi,15,S. SENTHILKUMAR,Independent,Fountain
Avadi,16,P. CHELLAPANDIAN,Independent,Gas cylinder
Avadi,17,K. BALAKRISHNAN,Independent,Lady finger
Avadi,18,R. MANIKANDAN,Independent,Envelope
Avadi,19,UNIESH RAJ. M,Independent,Scissors
Avadi,20,RAJASEKAR. R,Independent,Brush
Maduravoyal,1,GANAPATHY. K,Dravida Munnetra Kazhagam,Rising sun
Maduravoyal,2,P. BENJAMIN,All India Anna Dravida Munnetra Kazhagam,Two leaves
Maduravoyal,3,REVATHI L,Naam Tamilar Katchi,Farmer Carrying Plough
Maduravoyal,4,AGNI SELVARAJU. J,Naadaalum Makkal Katchi,Pen nib with seven rays
Maduravoyal,5,MUTHURAMAN. S,Anna MGR Dravida Makkal Kalgam,Pan
Maduravoyal,6,MURALI. S,Naam Indiar Party,Spanner
Maduravoyal,7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,Whistle
Maduravoyal,8,K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Maduravoyal,9,J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Maduravoyal,10,D. ANANDAN,Independent,Bead necklace
Maduravoyal,11,K. GANAPATHY,Independent,Diamond
Maduravoyal,12,V. KAMALA KANNAN,Independent,CCTV Camera
Maduravoyal,13,SARAVANAN KUMAR,Independent,Gas cylinder
Maduravoyal,14,R. SIVA,Independent,Sitar
Maduravoyal,15,M. BALASUBRAMANIAN,Independent,Bangles
Maduravoyal,16,S. BENJAMIN MOSES,Independent,Electric pole
Maduravoyal,17,PONMUTHU RAMESH,Independent,Stethoscope
Maduravoyal,18,N.A. MANI,Independent,Bucket
Maduravoyal,19,R. YUVARAJ,Independent,Football player
Maduravoyal,20,VIGNESH NANDAGOPAL,Independent,Mixee
Maduravoyal,21,M. JAMES,Independent,Cake
Ambattur,1,SILAMBARASAN,Naam Tamilar Katchi,Farmer Carrying Plough
Ambattur,2,DR. J.SAILAS,Bahujan Samaj Party,Elephant
Ambattur,3,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,Rising sun
Ambattur,4,A.KALYANASUNDARAM,Nationalist Janshakti Party,Sitar
Ambattur,5,K.N. SEKAR,Pattali Makkal Katchi,Mango
Ambattur,6,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,Whistle
Ambattur,7,V. RAMKUMAR,India Suyarajya Party,Diamond
Ambattur,8,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,Camera
Ambattur,9,D. JEYAGANESH,Naam Indiar Party,Spanner
Ambattur,10,M.S. ARUMUGAM,Independent,Gas cylinder
Ambattur,11,P. ARUMUGAM,Independent,Water tank
Ambattur,12,G. SAMPATH,Independent,Bangles
Ambattur,13,K. SEKAR,Independent,Air conditioner
Ambattur,14,G.P. SEKAR,Independent,Dish antenna
Ambattur,15,PALANI,Independent,Batsman
Ambattur,16,R.BALAMURUGAN,Independent,CCTV Camera
Ambattur,17,DR. S.PRAVEEN,Independent,Television
Ambattur,18,D. PUSHPA,Independent,Carrom board
Ambattur,19,S. MADHAVAN,Independent,Football player
Ambattur,20,D.K.MESHACK KIRUBAKARAN,Independent,Telephone
Ambattur,21,VINAYAGAMOORTHY.R,Independent,Ship
Ambattur,22,S. JANARTHANAN,Independent,Matchbox
Ambattur,23,JOTHI.M,Independent,Balloon
Madavaram,1,E.KRITHIKA,Naam Tamilar Katchi,Farmer Carrying Plough
Madavaram,2,S.SUDHARSANAM,Dravida Munnetra Kazhagam,Rising sun
Madavaram,3,MADHAVARAM V.MOORTHY,All India Anna Dravida Munnetra Kazhagam,Two leaves
Madavaram,4,N.JANAKIRAMAN,Bahujan Samaj Party,Elephant
Madavaram,5,R.KARTHIKEYAN,Tamizhaga Vaazhvurimai Katchi,Camera
Madavaram,6,I.RAFFIK,Naadaalum Makkal Katchi,Pen nib with seven rays
Madavaram,7,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,Whistle
Madavaram,8,S.SIVAKUMAR,Independent,Chain
Madavaram,9,SUDARSANAM,Independent,Diamond
Madavaram,10,A.NAGARAJAN,Independent,Peas
Madavaram,11,R.S.BALAJI,Independent,Ship
Madavaram,12,G.PRABU,Independent,Tooth brush
Madavaram,13,A.PONNALAGAN,Independent,Saw
Madavaram,14,C.MOORTHY,Independent,Electric pole
Madavaram,15,V.MURTHY,Independent,Wallet
Thiruvottiyur,1,KUPPAN. K,All India Anna Dravida Munnetra Kazhagam,Two leaves
Thiruvottiyur,2,SATHYA. B,Naam Tamilar Katchi,Farmer Carrying Plough
Thiruvottiyur,3,SUNDARARAJ. L,Communist Party of India (Marxist),Hammer Sickle and Star
Thiruvottiyur,4,MAHENDRA KUMAR. D,Bahujan Samaj Party,Elephant
Thiruvottiyur,5,SASIREKHA. M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Thiruvottiyur,6,SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,Whistle
Thiruvottiyur,7,DILLI KUMAR. R,Democratic National Allegiance,Ship
Thiruvottiyur,8,VENKATARAMANAN. J,Tamizhaga Vaazhvurimai Katchi,Camera
Thiruvottiyur,9,ARAVIND. R,Independent,Matchbox
Thiruvottiyur,10,GOPI. K,Independent,Gramophone
Thiruvottiyur,11,THANIKASALAM. B,Independent,Door bell
Thiruvottiyur,12,BALARUBAN,Independent,Boat with man and sail
Thiruvottiyur,13,MICHAELRAJ. M. A,Independent,Gas cylinder
Thiruvottiyur,14,VIJAY. A,Independent,Electric pole
Thiruvottiyur,15,JANAGARAJ,Independent,Wool and Needle
Dr.Radhakrishnan Nagar,1,R.S.RAAJESH,All India Anna Dravida Munnetra Kazhagam,Two leaves
Dr.Radhakrishnan Nagar,2,VENNILA.T,Naam Tamilar Katchi,Farmer Carrying Plough
Dr.Radhakrishnan Nagar,3,J. JOHN EBENEZER,Dravida Munnetra Kazhagam,Rising sun
Dr.Radhakrishnan Nagar,4,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,Diamond
Dr.Radhakrishnan Nagar,5,D.KARTHIKEYAN,Samata Party,Calculator
Dr.Radhakrishnan Nagar,6,CHANDRASEKAR,Tamizhaga Murpokku Makkal Katchi,Matchbox
Dr.Radhakrishnan Nagar,7,B.NAVIN,Tamizhaga Vaazhvurimai Katchi,Camera
Dr.Radhakrishnan Nagar,8,N. MARIE WILSON,Tamilaga Vettri Kazhagam,Whistle
Dr.Radhakrishnan Nagar,9,A.MOHANRAJ,Socialist Unity Centre Of India (COMMUNIST),Scissors
Dr.Radhakrishnan Nagar,10,AMUDHA.N,Independent,Triangle
Dr.Radhakrishnan Nagar,11,D. AJITH KUMAR,Independent,Biscuit
Dr.Radhakrishnan Nagar,12,S.EMMANUVEL,Independent,Ship
Dr.Radhakrishnan Nagar,13,A. USHA,Independent,Baby walker
Dr.Radhakrishnan Nagar,14,R.ETHIRAJ,Independent,Grapes
Dr.Radhakrishnan Nagar,15,V.SHANKAR,Independent,Bench
Dr.Radhakrishnan Nagar,16,M. SATHISH,Independent,Chain
Dr.Radhakrishnan Nagar,17,J.SARAVANAKUMAR,Independent,Road roller
Dr.Radhakrishnan Nagar,18,L.SARAVANAN,Independent,Laptop
Dr.Radhakrishnan Nagar,19,V.SUDHAKAR,Independent,Green chilli
Dr.Radhakrishnan Nagar,20,K. SUJITH,Independent,Carpet
Dr.Radhakrishnan Nagar,21,R.TAMILARASAN,Independent,Electric pole
Dr.Radhakrishnan Nagar,22,TAMILSELVAN,Independent,Sofa
Dr.Radhakrishnan Nagar,23,R.DEVAKUMAR,Independent,Coat
Dr.Radhakrishnan Nagar,24,D.PRABHU,Independent,Iron
Dr.Radhakrishnan Nagar,25,G. BOTHI RAJAN,Independent,Cake
Dr.Radhakrishnan Nagar,26,MANIKANDAN.H,Independent,Chimney
Dr.Radhakrishnan Nagar,27,G. MADHAN KUMAR,Independent,Box
Dr.Radhakrishnan Nagar,28,V. MADHAN MOHAN,Independent,Bat
Dr.Radhakrishnan Nagar,29,P. MARIMUTHU,Independent,Mixee
Dr.Radhakrishnan Nagar,30,R. MUTHU CHELLA BHARATHI,Independent,Carrom board
Dr.Radhakrishnan Nagar,31,K. MURALI,Independent,Pressure cooker
Dr.Radhakrishnan Nagar,32,J.MURALI KRISHNAN,Independent,Flute
Dr.Radhakrishnan Nagar,33,C. RAJAMANICKAM,Independent,Gas cylinder
Dr.Radhakrishnan Nagar,34,J.VIJAYAN,Independent,Coconut farm
Dr.Radhakrishnan Nagar,35,A.VIJAY,Independent,Robot
Dr.Radhakrishnan Nagar,36,G. VIJAY,Independent,Hand cart
Dr.Radhakrishnan Nagar,37,C.JANARTHANAN,Independent,Ring
Dr.Radhakrishnan Nagar,38,D. JANARTHANAN,Independent,Mike
Perambur,1,R.D. SHEKAR,Dravida Munnetra Kazhagam,Rising sun
Perambur,2,S. VETRI THAMIZHAN,Naam Tamilar Katchi,Farmer Carrying Plough
Perambur,3,VETRI VEL SELVAM,Bahujan Samaj Party,Elephant
Perambur,4,ASHLIN BELMEN .A.S,Tamilnadu Mahatma Gandhi Makkal Katchi,Diamond
Perambur,5,M. GEETA,Thakkam Katchi,Matchbox
Perambur,6,DR.R. SARAVANA PERUMAL,Makkal Nalvaazhvuk Katchi,Bucket
Perambur,7,SIVAKUMAR.V,Tamil Telugu National Party,Scissors
Perambur,8,S. SURESHKUMAR,Makkalatchi Katchi,Telephone
Perambur,9,J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),Gas cylinder
Perambur,10,M. THILAGABAMA,Pattali Makkal Katchi,Mango
Perambur,11,K.M. DEVAN,Makkal Murasu Katchi,Computer
Perambur,12,S. MALATHI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Perambur,13,A. RAJARAM,Republican Party of India (Athawale),Ganna kisan
Perambur,14,VIJAY,All India Jananayaka Makkal Kazhagam,Road roller
Perambur,15,D.V. VENUGOPAL,Tamizhaga Vaazhvurimai Katchi,Camera
Perambur,16,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,Whistle
Perambur,17,AGNI AALVAR,Independent,Pressure cooker
Perambur,18,AMALA.R,Independent,Walking stick
Perambur,19,AZARUTHEEN.M,Independent,Battery Torch
Perambur,20,P. ESAKKI MUTHU,Independent,Table
Perambur,21,E. UDHAYA KUMAR,Independent,Letter box
Perambur,22,M. KADHIRAVAN,Independent,Trumpet
Perambur,23,P. GUNASEKAR,Independent,Can
Perambur,24,B. SATHISH KUMAR,Independent,Box
Perambur,25,SATHISH.B,Independent,Robot
Perambur,26,P. THANGAMANI,Independent,Binoculars
Perambur,27,M. TAMILSELVAM,Independent,Bicycle pump
Perambur,28,H. DHANASEKAR,Independent,Ship
Perambur,29,M.I. THAHIRA BANU,Independent,Grapes
Perambur,30,NIVETHA,Independent,Ring
Perambur,31,B. BALAJI,Independent,Jackfruit
Perambur,32,P. PONRAJ,Independent,Cutting pliers
Perambur,33,BOWDHARAJ,Independent,Mike
Perambur,34,DR.D. MADAN,Independent,Stethoscope
Perambur,35,DR.G. MOORTHY,Independent,CCTV Camera
Perambur,36,S. MICHAEL,Independent,Bat
Perambur,37,S. RAMESH,Independent,Biscuit
Perambur,38,V. RAJI,Independent,Tea filter
Perambur,39,S. RAJESH KUMAR,Independent,Balloon
Perambur,40,REEGAN PRABHU,Independent,Batsman
Perambur,41,G. RUTHRA KUMAR,Independent,Pen nib with seven rays
Perambur,42,VIJAY. G,Independent,Gramophone
Perambur,43,S. VISHNU VARTHAN,Independent,Pillow
Perambur,44,B. VENKATESAN,Independent,Coconut farm
Perambur,45,R. JAYASEELAN,Independent,Helmet
Perambur,46,S. JOSEPH,Independent,Pen drive
Perambur,47,M. JOSEPH,Independent,Noodles bowl
Kolathur,1,P. SANTHANA KRISHNAN,All India Anna Dravida Munnetra Kazhagam,Two leaves
Kolathur,2,SUBASHINI,Bahujan Samaj Party,Elephant
Kolathur,3,SOUNDARA PANDIAN LUDER SETH,Naam Tamilar Katchi,Farmer Carrying Plough
Kolathur,4,M. K. STALIN,Dravida Munnetra Kazhagam,Rising sun
Kolathur,5,AATHITHYA,Samata Party,Bangles
Kolathur,6,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,Gas cylinder
Kolathur,7,OORMILA,Tamizhaga Vaazhvurimai Katchi,Camera
Kolathur,8,K. ELUMALAI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Kolathur,9,SIVAGNANASAM,Desiya Makkal Sakthi Katchi,Balloon
Kolathur,10,S.Y. SYED YUSUF,Republican Party of India (Athawale),Ganna kisan
Kolathur,11,V. S. BABU,Tamilaga Vettri Kazhagam,Whistle
Kolathur,12,ARUL DOSS. A.,Independent,Table
Kolathur,13,KAJA MAIDEEN,Independent,Hand cart
Kolathur,14,V. A. SUDHAKAR,Independent,Ship
Kolathur,15,M. SURESH,Independent,Mike
Kolathur,16,J. SURIYA MUTHU,Independent,Iron
Kolathur,17,R. SENTHIL KUMAR,Independent,Diamond
Kolathur,18,SELVI STEFFI. V. M,Independent,Boat with man and sail
Kolathur,19,NANDA KUMAR,Independent,Helmet
Kolathur,20,A. L. NARESH KUMAR,Independent,Matchbox
Kolathur,21,V. NARESH BABU,Independent,Bat
Kolathur,22,K. PANNEER SELVAM,Independent,Ring
Kolathur,23,S. BALACHANDAR,Independent,Electric pole
Kolathur,24,R. BALAJI,Independent,Carrom board
Kolathur,25,M. POORNIMA,Independent,CCTV Camera
Kolathur,26,R. MAHESH,Independent,Road roller
Kolathur,27,P. MILANY,Independent,Bucket
Kolathur,28,R. RAVIKUMAR,Independent,Football player
Kolathur,29,R. RAJ GURU,Independent,Pen nib with seven rays
Kolathur,30,RAJA. G.,Independent,Gas Stove
Kolathur,31,A. RAJI,Independent,Walking stick
Kolathur,32,M. RAJESHKUMAR,Independent,Door bell
Kolathur,33,VIGIRDHAN,Independent,Flute
Kolathur,34,FARMER JAYARAMAN. S K J.,Independent,Chappals
Kolathur,35,S. SHARAN,Independent,Computer
Villivakkam,1,KARTHIK MOHAN,Dravida Munnetra Kazhagam,Rising sun
Villivakkam,2,ROSHINI S,Naam Tamilar Katchi,Farmer Carrying Plough
Villivakkam,3,VIJAYAKUMAR  S.R,All India Anna Dravida Munnetra Kazhagam,Two leaves
Villivakkam,4,ABDUL SHABEEK  A,Tamizhaga Vaazhvurimai Katchi,Camera
Villivakkam,5,AJITHKUMAR A,Thakkam Katchi,Matchbox
Villivakkam,6,AADHAV ARJUNA,Tamilaga Vettri Kazhagam,Whistle
Villivakkam,7,ASHOK KUMAR C.A,Independent,Gas cylinder
Villivakkam,8,ANBAZHAGAN G,Independent,Tooth brush
Villivakkam,9,KANNAN M,Independent,Batsman
Villivakkam,10,KANDASAMY S,Independent,Coconut farm
Villivakkam,11,KARTHICK S,Independent,Gift pack
Villivakkam,12,KARTHICK P,Independent,Binoculars
Villivakkam,13,SHANMUGA D,Independent,Pen nib with seven rays
Villivakkam,14,CHARAVANAN M.P,Independent,Letter box
Villivakkam,15,SOLOMON  J.R,Independent,Pressure cooker
Villivakkam,16,SUBRAMANI K,Independent,Table
Villivakkam,17,DHAYANIDHI D,Independent,Electric pole
Villivakkam,18,DEVARAJAN G,Independent,CCTV Camera
Villivakkam,19,BALAMURALI G,Independent,Bat
Villivakkam,20,PURUSHOTHAMAN P,Independent,Bucket
Villivakkam,21,MANIMARAN P,Independent,Balloon
Villivakkam,22,MURALI R,Independent,Air conditioner
Villivakkam,23,MURALI VINODH  M,Independent,Almirah
Villivakkam,24,YUVARAJ S,Independent,Bricks
Villivakkam,25,RAJI M,Independent,Box
Villivakkam,26,VIJAYAKUMAR G,Independent,Battery Torch
Villivakkam,27,VIJAYAKUMAR  D,Independent,Brush
Villivakkam,28,JAYA ZEBA C,Independent,Diamond
Thiru-Vi-Ka-Nagar,1,K. S. RAVICHANDRAN,Dravida Munnetra Kazhagam,Rising sun
Thiru-Vi-Ka-Nagar,2,PORKODI ARMSTRONG,All India Anna Dravida Munnetra Kazhagam,Two leaves
Thiru-Vi-Ka-Nagar,3,JAGADESH CHANDER .M,Naam Tamilar Katchi,Farmer Carrying Plough
Thiru-Vi-Ka-Nagar,4,C. CHRISTY,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Thiru-Vi-Ka-Nagar,5,A. SELVA KUMAR,Thakkam Katchi,Matchbox
Thiru-Vi-Ka-Nagar,6,M. R. PALLAVI,Tamilaga Vettri Kazhagam,Whistle
Thiru-Vi-Ka-Nagar,7,S JAYAKALPANA,Republican Party of India (Athawale),Ganna kisan
Thiru-Vi-Ka-Nagar,8,R. ANANDAN,Independent,Cot
Thiru-Vi-Ka-Nagar,9,M. KANNADASAN,Independent,Chimney
Thiru-Vi-Ka-Nagar,10,M. KOLANJI,Independent,Diamond
Thiru-Vi-Ka-Nagar,11,D. SATHISH KUMAR,Independent,Funnel
Thiru-Vi-Ka-Nagar,12,SATHISH,Independent,Electric pole
Thiru-Vi-Ka-Nagar,13,S. SENTHAMIZHAN,Independent,Box
Thiru-Vi-Ka-Nagar,14,G. J. DHARANIRAJ,Independent,Swing
Thiru-Vi-Ka-Nagar,15,S. PARTHIBAN,Independent,Wheel barrow
Thiru-Vi-Ka-Nagar,16,PRAKASH ARUNACHALAM,Independent,Kettle
Thiru-Vi-Ka-Nagar,17,PRASANTH. D,Independent,Ship
Thiru-Vi-Ka-Nagar,18,PRAVEEN THIYAGARAJAN,Independent,Batsman
Thiru-Vi-Ka-Nagar,19,R. MURUGAN,Independent,Cauliflower
Thiru-Vi-Ka-Nagar,20,M. MOHAN,Independent,Brush
Thiru-Vi-Ka-Nagar,21,S. RAJENDRAN,Independent,Typewriter
Thiru-Vi-Ka-Nagar,22,M. LOKESH,Independent,Violin
Thiru-Vi-Ka-Nagar,23,C. JAGAN MOHAN,Independent,Telephone
Egmore,1,ABISHEK. R,All India Anna Dravida Munnetra Kazhagam,Two leaves
Egmore,2,SARANYA IMRAN,Naam Tamilar Katchi,Farmer Carrying Plough
Egmore,3,TAMILAN PRASANNA,Dravida Munnetra Kazhagam,Rising sun
Egmore,4,ARUN RAO. N.A,Naam Indiar Party,Spanner
Egmore,5,DR.N. GUNASEKAR,Republican Party of India (Athawale),Ganna kisan
Egmore,6,D. THIRUNAVUKKARASAR,Tamizhaga Vaazhvurimai Katchi,Camera
Egmore,7,T. MAGIZHANBAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Egmore,8,G.R. RAJENDRAN,National Maha Sabha Party,Gas cylinder
Egmore,9,RAJMOHAN,Tamilaga Vettri Kazhagam,Whistle
Egmore,10,ARAVINDAN,Independent,Matchbox
Egmore,11,R. KUMARAVEL,Independent,Iron
Egmore,12,M. NAGARAJAN,Independent,Helmet
Egmore,13,S. PICHAMUTHU,Independent,Batsman
Egmore,14,RAJKUMAR,Independent,Dumbbells
Egmore,15,RAJMOHAN,Independent,School bag
Egmore,16,S. VINOTH KUMAR,Independent,Diamond
Egmore,17,VENKATESH. K,Independent,Carrom board
Egmore,18,SRIDHAR. M,Independent,Stumps
Royapuram,1,DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,Rising sun
Royapuram,2,A. BABU MAILAN,Naam Tamilar Katchi,Farmer Carrying Plough
Royapuram,3,D. JAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,Two leaves
Royapuram,4,M. JAYARAJKUMAR,Bahujan Samaj Party,Elephant
Royapuram,5,A. SATHIK KUMAR,Democratic National Allegiance,Ship
Royapuram,6,M. RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,Camera
Royapuram,7,R. VINOTHKUMAR,Naam Indiar Party,Spanner
Royapuram,8,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,Whistle
Royapuram,9,T. KAVIYARASU,Independent,Swing
Royapuram,10,G. KARTHIKEYAN,Independent,Football player
Royapuram,11,KERTHIVARUNNAN .R,Independent,Air conditioner
Royapuram,12,A. SASIKUMAR,Independent,Wallet
Royapuram,13,M. SHANMUGAM,Independent,Matchbox
Royapuram,14,K.J. SIVAKUMAR,Independent,Boat with man and sail
Royapuram,15,P. SUMATHI,Independent,Bricks
Royapuram,16,J. SELVAKUMAR,Independent,Dish antenna
Royapuram,17,M DHINAKARAN,Independent,Cake
Royapuram,18,A. NIZAR AHAMED,Independent,Chess board
Royapuram,19,V. BHAGATH SINGH,Independent,Robot
Royapuram,20,K. PRASATH,Independent,Electric pole
Royapuram,21,M. MAHALAKSHMI,Independent,Green chilli
Royapuram,22,S. RAJU,Independent,Calculator
Royapuram,23,T. RAJESH,Independent,Gas cylinder
Royapuram,24,R. RAJKUMAR,Independent,Box
Royapuram,25,A. JAYAKUMAR,Independent,Bicycle pump
Royapuram,26,D. JAYAKUMAR,Independent,Binoculars
Royapuram,27,I JAYAPRAKASH,Independent,Diamond
Royapuram,28,C. SRIDHAR,Independent,Coat
Harbour,1,M SURESH,Bahujan Samaj Party,Elephant
Harbour,2,P K SEKARBABU,Dravida Munnetra Kazhagam,Rising sun
Harbour,3,R FOUZAN SHARIFF,Naam Tamilar Katchi,Farmer Carrying Plough
Harbour,4,R MANOHAR,All India Anna Dravida Munnetra Kazhagam,Two leaves
Harbour,5,SINORA P S ASHOK,Tamilaga Vettri Kazhagam,Whistle
Harbour,6,SIVALINGAM ASHOK,Independent,Plate stand
Harbour,7,ASHOK KUMAR,Independent,Peas
Harbour,8,S GANESH,Independent,Diamond
Harbour,9,D KABILAN,Independent,Air conditioner
